<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
TIKR_A;5;20180813;095500;0.0426;0.0426;0.0426;0.0426;2688;0
TIKR_A;5;20180813;100000;0.04274;0.04328;0.04251;0.04284;78034;0
TIKR_A;5;20180813;100500;0.0428;0.04309;0.0428;0.043;28581;0
TIKR_A;5;20180813;101000;0.04302;0.04351;0.043;0.04346;44002;0
TIKR_A;5;20180813;101500;0.04347;0.04349;0.0428;0.04291;111976;0
TIKR_A;5;20180813;102000;0.04297;0.04337;0.04292;0.04336;47690;0
TIKR_A;5;20180813;102500;0.04329;0.0435;0.04319;0.04323;51713;0
TIKR_A;5;20180813;103000;0.04325;0.04335;0.04315;0.04316;26555;0
TIKR_A;5;20180813;103500;0.04319;0.04323;0.04304;0.04323;29231;0
TIKR_A;5;20180813;104000;0.0432;0.04327;0.04301;0.04317;34079;0
TIKR_A;5;20180813;104500;0.04316;0.04318;0.04285;0.04299;36453;0
TIKR_A;5;20180813;105000;0.04294;0.04309;0.04283;0.043;35433;0
TIKR_A;5;20180813;105500;0.043;0.04309;0.04282;0.0429;23094;0
TIKR_A;5;20180813;110000;0.0429;0.04305;0.04279;0.04304;43406;0
TIKR_A;5;20180813;110500;0.04304;0.04304;0.04282;0.04294;11344;0
TIKR_A;5;20180813;111000;0.04296;0.04297;0.04285;0.04297;16128;0
TIKR_A;5;20180813;111500;0.04296;0.04305;0.04291;0.04303;15685;0
TIKR_A;5;20180813;112000;0.04302;0.04316;0.04301;0.04311;14793;0
TIKR_A;5;20180813;112500;0.04315;0.04317;0.04305;0.04316;6751;0
TIKR_A;5;20180813;113000;0.04316;0.04317;0.04305;0.0431;12254;0
TIKR_A;5;20180813;113500;0.0431;0.04319;0.04306;0.04318;8924;0
TIKR_A;5;20180813;114000;0.04318;0.04334;0.04316;0.04333;13519;0
TIKR_A;5;20180813;114500;0.04333;0.04335;0.04324;0.04325;18819;0
TIKR_A;5;20180813;115000;0.04324;0.04336;0.04324;0.04332;14119;0
TIKR_A;5;20180813;115500;0.04334;0.04372;0.04333;0.04361;61668;0
TIKR_A;5;20180813;120000;0.04359;0.04366;0.0434;0.0436;36416;0
TIKR_A;5;20180813;120500;0.0436;0.04378;0.04351;0.04365;21642;0
TIKR_A;5;20180813;121000;0.04361;0.04364;0.04353;0.04354;7942;0
TIKR_A;5;20180813;121500;0.04353;0.04362;0.04349;0.04351;13475;0
TIKR_A;5;20180813;122000;0.04352;0.04364;0.04351;0.04357;15424;0
TIKR_A;5;20180813;122500;0.04354;0.04361;0.04347;0.0436;15156;0
TIKR_A;5;20180813;123000;0.04356;0.0436;0.04343;0.04349;12896;0
TIKR_A;5;20180813;123500;0.04353;0.04365;0.04351;0.04364;11340;0
TIKR_A;5;20180813;124000;0.04363;0.04363;0.04355;0.04355;3388;0
TIKR_A;5;20180813;124500;0.0436;0.04378;0.04356;0.0436;23700;0
TIKR_A;5;20180813;125000;0.04361;0.04361;0.04354;0.04354;3238;0
TIKR_A;5;20180813;125500;0.04352;0.04356;0.04344;0.04349;16887;0
TIKR_A;5;20180813;130000;0.04345;0.04348;0.04331;0.04339;34053;0
TIKR_A;5;20180813;130500;0.04334;0.0434;0.04334;0.04335;17561;0
TIKR_A;5;20180813;131000;0.04336;0.0434;0.04333;0.0434;8328;0
TIKR_A;5;20180813;131500;0.04338;0.0434;0.04336;0.0434;22455;0
TIKR_A;5;20180813;132000;0.0434;0.04353;0.0434;0.04344;15918;0
TIKR_A;5;20180813;132500;0.04347;0.04347;0.04337;0.04347;2930;0
TIKR_A;5;20180813;133000;0.04348;0.04351;0.04339;0.0435;10916;0
TIKR_A;5;20180813;133500;0.0435;0.0435;0.04345;0.04348;4137;0
TIKR_A;5;20180813;134000;0.04348;0.04353;0.04345;0.0435;6256;0
TIKR_A;5;20180813;134500;0.04347;0.04357;0.04347;0.04352;5982;0
