<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
TIKR_B;5;20180813;095500;182.05;182.05;182.05;182.05;45381;0
TIKR_B;5;20180813;100000;182.16;184.25;180.15;182.5;717374;0
TIKR_B;5;20180813;100500;182.5;184.19;182.33;183.5;276123;0
TIKR_B;5;20180813;101000;183.54;185.47;183.49;184.93;272958;0
TIKR_B;5;20180813;101500;184.93;185.19;184;184;164168;0
TIKR_B;5;20180813;102000;184.01;186.38;183.63;186.17;247061;0
TIKR_B;5;20180813;102500;186.16;188.13;185.98;186.9;321316;0
TIKR_B;5;20180813;103000;186.9;187.47;185.75;186.46;171353;0
TIKR_B;5;20180813;103500;186.46;187.21;186.34;186.76;85354;0
TIKR_B;5;20180813;104000;186.76;187.75;186.57;186.9;100123;0
TIKR_B;5;20180813;104500;186.9;186.92;184.92;185;179356;0
TIKR_B;5;20180813;105000;185.06;186;184.5;185.82;131527;0
TIKR_B;5;20180813;105500;185.8;186.24;185;185.35;80063;0
TIKR_B;5;20180813;110000;185.35;186.49;184.6;186.34;88879;0
TIKR_B;5;20180813;110500;186.34;186.35;184.69;185.3;75373;0
TIKR_B;5;20180813;111000;185.2;185.88;184.73;185.73;57664;0
TIKR_B;5;20180813;111500;185.77;186.3;185.5;186.04;69652;0
TIKR_B;5;20180813;112000;186.06;186.95;186.06;186.57;75647;0
TIKR_B;5;20180813;112500;186.59;187.25;186.32;187.01;54119;0
TIKR_B;5;20180813;113000;187.08;187.23;186.55;187.05;73711;0
TIKR_B;5;20180813;113500;187.05;187.85;186.87;187.68;89785;0
TIKR_B;5;20180813;114000;187.58;188.75;187.55;188.2;253090;0
TIKR_B;5;20180813;114500;188.2;188.65;187.65;188.02;66262;0
TIKR_B;5;20180813;115000;187.99;188.83;187.8;188.55;111639;0
TIKR_B;5;20180813;115500;188.67;189.79;188.63;189.66;231811;0
TIKR_B;5;20180813;120000;189.66;189.77;188.86;189.77;114419;0
TIKR_B;5;20180813;120500;189.77;190.5;189.45;189.64;248642;0
TIKR_B;5;20180813;121000;189.64;190.27;189.44;189.86;126345;0
TIKR_B;5;20180813;121500;189.86;190.49;189.73;190.03;114676;0
TIKR_B;5;20180813;122000;190.01;190.11;189.5;189.54;96418;0
TIKR_B;5;20180813;122500;189.55;189.6;188.5;189.33;267408;0
TIKR_B;5;20180813;123000;189.37;189.65;188.02;188.66;92389;0
TIKR_B;5;20180813;123500;188.68;189.33;188.65;189.01;43051;0
TIKR_B;5;20180813;124000;189.01;189.19;188.71;188.98;35071;0
TIKR_B;5;20180813;124500;188.99;189.6;188.52;188.56;101776;0
TIKR_B;5;20180813;125000;188.56;188.89;188.52;188.59;23082;0
TIKR_B;5;20180813;125500;188.6;188.68;188;188.06;66428;0
TIKR_B;5;20180813;130000;188.05;188.19;187.27;187.66;167953;0
TIKR_B;5;20180813;130500;187.55;188.53;187.55;188.14;49320;0
TIKR_B;5;20180813;131000;188.13;188.63;187.57;188.37;97112;0
TIKR_B;5;20180813;131500;188.37;188.89;188.34;188.78;52419;0
TIKR_B;5;20180813;132000;188.73;188.95;188.21;188.5;43761;0
TIKR_B;5;20180813;132500;188.39;188.62;188.05;188.6;39553;0
TIKR_B;5;20180813;133000;188.59;189;188.34;188.8;57621;0
TIKR_B;5;20180813;133500;188.88;189.22;188.6;189.12;42162;0
TIKR_B;5;20180813;134000;189.12;189.36;188.89;189.12;36045;0
TIKR_B;5;20180813;134500;189.14;189.59;188.91;189.54;63956;0
TIKR_B;5;20180813;135000;189.53;189.75;189.01;189.14;46248;0
TIKR_B;5;20180813;135500;189.14;189.43;188.77;188.92;93679;0
TIKR_B;5;20180813;140000;188.9;189.08;188.75;189.01;20782;0
TIKR_B;5;20180813;140500;188.93;189.02;188.33;188.7;49920;0
TIKR_B;5;20180813;141000;188.75;188.98;188.36;188.72;45114;0
TIKR_B;5;20180813;141500;188.74;189.18;188.56;188.99;32857;0
TIKR_B;5;20180813;142000;188.95;189.18;188.89;188.94;32621;0
TIKR_B;5;20180813;142500;189;189.11;188.53;189.06;45982;0
TIKR_B;5;20180813;143000;189.05;189.4;188.9;189;37180;0
TIKR_B;5;20180813;143500;189;189.07;188.61;188.63;21307;0
TIKR_B;5;20180813;144000;188.62;189;188.54;188.69;19162;0
TIKR_B;5;20180813;144500;188.65;188.79;188.5;188.59;23736;0
TIKR_B;5;20180813;145000;188.6;188.81;188.11;188.41;71367;0
TIKR_B;5;20180813;145500;188.41;189.98;188.23;189.49;182805;0
TIKR_B;5;20180813;150000;189.45;189.95;189.18;189.35;84152;0
TIKR_B;5;20180813;150500;189.35;189.88;189.25;189.34;28797;0
TIKR_B;5;20180813;151000;189.32;189.65;189.26;189.46;23728;0
TIKR_B;5;20180813;151500;189.46;189.8;189.43;189.67;16456;0
TIKR_B;5;20180813;152000;189.7;190.37;189.61;190.23;122654;0
TIKR_B;5;20180813;152500;190.28;191.59;190.28;191.23;374380;0
TIKR_B;5;20180813;153000;191.23;191.46;190.66;190.9;107859;0
TIKR_B;5;20180813;153500;190.9;191.8;190.82;191.64;162514;0
TIKR_B;5;20180813;154000;191.64;192;191.23;191.66;108281;0
TIKR_B;5;20180813;154500;191.66;191.84;191.04;191.24;53202;0
TIKR_B;5;20180813;155000;191.24;191.32;190.83;190.92;38750;0
TIKR_B;5;20180813;155500;190.92;191.4;190.66;190.87;55503;0
TIKR_B;5;20180813;160000;190.95;191.24;190.73;190.89;22980;0
TIKR_B;5;20180813;160500;190.89;191.35;190.82;191.03;25052;0
TIKR_B;5;20180813;161000;191.03;191.45;191;191.09;29520;0
TIKR_B;5;20180813;161500;191.09;191.19;190.7;190.85;50278;0
TIKR_B;5;20180813;162000;190.86;190.99;190.32;190.92;70397;0
TIKR_B;5;20180813;162500;190.92;190.92;190.44;190.44;25454;0
TIKR_B;5;20180813;163000;190.5;191.92;190.15;191.92;160359;0
TIKR_B;5;20180813;163500;191.93;192.4;191.28;191.73;193215;0
TIKR_B;5;20180813;164000;191.76;192.23;191.67;192.18;59392;0
TIKR_B;5;20180813;164500;192.15;192.7;191.96;192.24;126494;0
TIKR_B;5;20180813;165000;192.24;192.34;191.93;192.28;57061;0
TIKR_B;5;20180813;165500;192.23;192.9;192.23;192.47;138401;0
TIKR_B;5;20180813;170000;192.48;192.58;192.14;192.28;53582;0
TIKR_B;5;20180813;170500;192.28;192.39;192;192.39;60621;0
TIKR_B;5;20180813;171000;192.31;193.04;192.31;192.89;146778;0
TIKR_B;5;20180813;171500;192.89;193.3;192.45;193.14;136598;0
